Record ID,Teacher Id,Assigned Hours,Course code,Reported Hours
A1,19620522-0023,240,I-1,227
A2,19790708-0041,100,I-1,115
A3,19930221-0139,140,I-1,157
A4,19690408-0009,280,I-2,281
A5,19750220-0037,100,I-2,115
A6,19921201-0094,100,I-2,112
A7,19570826-0012,240,I-3,253
A8,19790702-0038,140,I-3,146
A9,19690513-0015,240,I-4,224
A10,19750705-0033,140,I-4,135
A11,19610623-0005,260,I-5,248
A12,19780424-0057,140,I-5,140
A13,19920206-0072,100,I-5,100
A14,19640220-0029,240,I-6,228
A15,19790618-0048,120,I-6,128
A16,19910927-0128,140,I-6,157
A17,19630126-0001,240,I-7,221
A18,19790702-0038,140,I-7,157
A19,19910214-0084,120,I-7,101
A20,19620831-0024,240,I-8,235
A21,19760108-0050,100,I-8,89
A22,19931231-0099,100,I-8,107
A23,19570826-0012,260,I-9,246
A24,19760524-0046,120,I-9,116
A25,19600814-0002,240,I-10,252
A26,19780424-0057,100,I-10,84
A27,19911116-0069,140,I-10,157
A28,19620522-0023,260,I-11,241
A29,19750220-0037,140,I-11,140
A30,19930709-0100,140,I-11,141
A31,19640220-0029,280,I-12,265
A32,19790708-0041,100,I-12,109
A33,19570615-0011,240,I-13,255
A34,19771013-0040,140,I-13,146
A35,19620831-0024,260,I-14,272
A36,19750417-0051,120,I-14,136
A37,19590129-0004,260,I-15,251
A38,19750906-0032,120,I-15,113
A39,19620831-0024,240,I-16,254
A40,19780317-0052,100,I-16,103
A41,19610620-0006,240,I-17,225
A42,19790717-0045,140,I-17,123
A43,19590129-0004,260,I-18,276
A44,19781130-0054,120,I-18,117
A45,19920206-0072,140,I-18,136
A46,19561222-0030,240,I-19,239
A47,19780602-0035,100,I-19,108
A48,19900211-0140,120,I-19,104
A49,19640414-0013,280,I-20,265
A50,19781217-0053,140,I-20,143
A51,19900902-0114,140,I-20,123
A52,19620424-0026,280,I-21,268
A53,19780317-0052,100,I-21,110
A54,19931231-0099,140,I-21,121
A55,19601021-0018,260,I-22,255
A56,19750722-0060,140,I-22,152
A57,19920217-0098,120,I-22,125
A58,19680712-0028,260,I-23,240
A59,19760524-0046,100,I-23,120
A60,19610623-0005,280,I-24,299
A61,19750122-0056,100,I-24,109
A62,19921127-0120,140,I-24,144
A63,19560812-0016,240,I-25,260
A64,19761020-0044,120,I-25,122
A65,19920122-0065,100,I-25,84
A66,19680712-0028,280,I-26,297
A67,19781130-0054,140,I-26,132
A68,19610620-0006,280,I-27,297
A69,19750906-0032,120,I-27,140
A70,19620522-0023,260,I-28,265
A71,19781130-0054,100,I-28,119
A72,19921002-0129,140,I-28,124
A73,19560812-0016,260,I-29,245
A74,19751018-0039,100,I-29,109
A75,19901029-0071,120,I-29,106
A76,19600814-0002,280,I-30,287
A77,19790426-0049,140,I-30,147
A78,19560705-0025,260,I-31,250
A79,19790702-0038,120,I-31,108
A80,19900701-0113,140,I-31,156
A81,19610918-0027,280,I-32,298
A82,19761024-0034,100,I-32,96
A83,19660630-0020,240,I-33,227
A84,19781217-0053,120,I-33,119
A85,19660630-0020,260,I-34,254
