Register ID,Course Instance,Student id,Status,Grade
RID1,I-1494,19860309-0002,completed,3
RID2,I-3997,19860309-0002,completed,4
RID3,I-658,19860309-0002,completed,3
RID4,I-1499,19860309-0002,completed,4
RID5,I-1496,19860309-0002,completed,4
RID6,I-433,19860309-0002,completed,3
RID7,I-1500,19860309-0002,completed,4
RID8,I-1289,19860309-0002,completed,4
RID9,I-1074,19860309-0002,completed,4
RID10,I-1607,19860309-0002,completed,3
RID11,I-871,19860309-0002,completed,3
RID12,I-1608,19860309-0002,completed,5
RID13,I-3697,19860309-0002,completed,5
RID14,I-1922,19850305-0003,completed,5
RID15,I-1199,19850305-0003,completed,5
RID16,I-1924,19850305-0003,completed,3
RID17,I-2658,19850305-0003,completed,3
RID18,I-2037,19850305-0003,completed,5
RID19,I-2038,19850305-0003,completed,5
RID20,I-2040,19850305-0003,completed,3
RID21,I-2041,19850305-0003,completed,4
RID22,I-2039,19850305-0003,completed,5
RID23,I-2044,19850305-0003,completed,5
RID24,I-2993,19850305-0003,completed,4
RID25,I-5074,19850305-0003,completed,5
RID26,I-1204,19850305-0003,completed,3
RID27,I-2042,19850305-0003,completed,3
RID28,I-2156,19850305-0003,completed,3
RID29,I-2157,19850305-0003,completed,5
RID30,I-2159,19850305-0003,completed,4
RID31,I-153,19850305-0003,completed,3
RID32,I-4834,19860211-0004,completed,5
RID33,I-2956,19860211-0004,completed,5
RID34,I-4623,19860211-0004,completed,3
RID35,I-2119,19860211-0004,completed,5
RID36,I-2957,19860211-0004,completed,3
RID37,I-1385,19860211-0004,completed,4
RID38,I-2966,19860211-0004,completed,3
RID39,I-2965,19860211-0004,completed,5
RID40,I-2964,19860211-0004,completed,4
RID41,I-1694,19860211-0004,completed,4
RID42,I-3576,19880122-0005,completed,5
RID43,I-3578,19880122-0005,completed,3
RID44,I-327,19880122-0005,completed,5
RID45,I-3582,19880122-0005,completed,4
RID46,I-4011,19880122-0005,completed,4
RID47,I-342,19880122-0005,completed,3
RID48,I-238,19880122-0005,completed,5
RID49,I-1923,19880122-0005,completed,3
RID50,I-2636,19850603-0006,completed,3
RID51,I-2637,19850603-0006,completed,3
RID52,I-2638,19850603-0006,completed,5
RID53,I-4941,19850603-0006,completed,3
RID54,I-2233,19850603-0006,completed,4
RID55,I-2756,19850603-0006,completed,4
RID56,I-2759,19850603-0006,completed,3
RID57,I-2761,19850603-0006,completed,3
RID58,I-5166,19860222-0007,completed,5
RID59,I-2447,19860222-0007,completed,3
RID60,I-3786,19860222-0007,completed,4
RID61,I-1606,19860222-0007,completed,4
RID62,I-5378,19860222-0007,completed,5
RID63,I-3897,19860222-0007,completed,5
RID64,I-3899,19860222-0007,completed,4
RID65,I-4226,19860222-0007,completed,3
RID66,I-4015,19860222-0007,completed,3
RID67,I-4016,19860222-0007,completed,3
RID68,I-4018,19860222-0007,completed,3
RID69,I-4324,19860222-0007,completed,3
RID70,I-4017,19860222-0007,completed,3
RID71,I-4024,19860222-0007,completed,4
RID72,I-1100,19860222-0007,completed,5
RID73,I-4020,19860222-0007,completed,3
RID74,I-5179,19860222-0007,completed,5
RID75,I-5,19861018-0009,completed,5
RID76,I-3993,19861018-0009,completed,3
RID77,I-5360,19861018-0009,completed,4
RID78,I-5359,19861018-0009,completed,5
RID79,I-535,19860829-0010,completed,5
RID80,I-5255,19860829-0010,completed,4
RID81,I-960,19860829-0010,completed,5
RID82,I-5257,19860829-0010,completed,4
RID83,I-3891,19860829-0010,completed,5
RID84,I-5368,19860829-0010,completed,4
RID85,I-5369,19860829-0010,completed,3
RID86,I-1182,19860829-0010,completed,3
RID87,I-1058,19850527-0011,completed,5
RID88,I-1059,19850527-0011,completed,3
RID89,I-1490,19850527-0011,completed,5
RID90,I-2638,19850527-0011,completed,4
RID91,I-4732,19850527-0011,completed,3
RID92,I-1069,19850527-0011,completed,3
RID93,I-323,19850527-0011,completed,5
RID94,I-1389,19850527-0011,completed,5
RID95,I-1067,19850527-0011,completed,5
RID96,I-4835,19850527-0011,completed,5
RID97,I-1181,19850527-0011,completed,3
RID98,I-865,19850527-0011,completed,5
RID99,I-1183,19850527-0011,completed,4
RID100,I-1185,19850527-0011,completed,3
RID101,I-230,19850527-0011,completed,3
RID102,I-759,19850527-0011,completed,3
RID103,I-545,19850527-0011,completed,3
RID104,I-1188,19850527-0011,completed,3
RID105,I-2756,19891217-0012,completed,4
RID106,I-1495,19891217-0012,completed,3
RID107,I-3077,19891217-0012,completed,3
RID108,I-4633,19891217-0012,completed,4
RID109,I-5277,19891217-0012,completed,4
RID110,I-3175,19891217-0012,completed,5
RID111,I-4964,19891217-0012,completed,3
RID112,I-3179,19891217-0012,completed,4
RID113,I-3288,19891217-0012,completed,3
RID114,I-5396,19891217-0012,completed,5
RID115,I-2253,19891217-0012,completed,5
RID116,I-3291,19891217-0012,completed,4
RID117,I-423,19861017-0014,completed,5
RID118,I-424,19861017-0014,completed,3
RID119,I-427,19861017-0014,completed,4
RID120,I-5488,19861017-0014,completed,4
RID121,I-2654,19861017-0014,completed,3
RID122,I-541,19861017-0014,completed,3
RID123,I-540,19861017-0014,completed,5
RID124,I-542,19861017-0014,completed,5
RID125,I-5150,19870714-0017,completed,5
RID126,I-4730,19870714-0017,completed,5
RID127,I-2638,19870714-0017,completed,4
RID128,I-1065,19870714-0017,completed,5
RID129,I-1394,19870714-0017,completed,5
RID130,I-1284,19870714-0017,completed,3
RID131,I-5059,19870714-0017,completed,5
RID132,I-759,19870714-0017,completed,3
RID133,I-4405,19850426-0018,completed,3
RID134,I-4839,19850426-0018,completed,3
RID135,I-4409,19850426-0018,completed,4
RID136,I-4407,19850426-0018,completed,3
RID137,I-2339,19850426-0018,completed,5
RID138,I-4410,19850426-0018,completed,4
RID139,I-3881,19850426-0018,completed,3
RID140,I-2335,19850426-0018,completed,5
RID141,I-4522,19850426-0018,completed,4
RID142,I-5056,19850426-0018,completed,5
RID143,I-3372,19850426-0018,completed,5
RID144,I-4215,19850426-0018,completed,5
RID145,I-4511,19870816-0019,completed,5
RID146,I-4515,19870816-0019,completed,3
RID147,I-4512,19870816-0019,completed,4
RID148,I-3060,19870816-0019,completed,4
RID149,I-5263,19880404-0020,completed,3
RID150,I-2131,19880404-0020,completed,4
RID151,I-5267,19880404-0020,completed,3
RID152,I-5268,19880404-0020,completed,3
RID153,I-876,19880404-0020,completed,3
RID154,I-3896,19880404-0020,completed,3
RID155,I-5381,19880404-0020,completed,4
RID156,I-5387,19880404-0020,completed,3
RID157,I-543,19891130-0023,completed,5
RID158,I-4629,19891130-0023,completed,5
RID159,I-4630,19891130-0023,completed,4
RID160,I-4631,19891130-0023,completed,5
RID161,I-5069,19891130-0023,completed,3
RID162,I-4748,19891130-0023,completed,5
RID163,I-4753,19891130-0023,completed,4
RID164,I-4747,19891130-0023,completed,5
RID165,I-27,19891130-0023,completed,3
RID166,I-4751,19891130-0023,completed,5
RID167,I-4125,19891130-0023,completed,5
RID168,I-4863,19891130-0023,completed,5
RID169,I-3905,19891130-0023,completed,3
RID170,I-5077,19891130-0023,completed,3
RID171,I-5150,19860208-0024,completed,3
RID172,I-5151,19860208-0024,completed,3
RID173,I-5154,19860208-0024,completed,4
RID174,I-2642,19860208-0024,completed,3
RID175,I-3999,19851213-0025,completed,4
RID176,I-4633,19851213-0025,completed,5
RID177,I-2969,19851213-0025,completed,3
RID178,I-1809,19851213-0025,completed,5
RID179,I-4425,19851213-0025,completed,4
RID180,I-4859,19851213-0025,completed,4
RID181,I-3690,19851213-0025,completed,3
RID182,I-5386,19851213-0025,completed,3
RID183,I-4541,19851213-0025,completed,3
RID184,I-4543,19851213-0025,completed,4
RID185,I-246,19851213-0025,completed,3
RID186,I-5079,19851213-0025,completed,4
RID187,I-428,19870512-0028,completed,5
RID188,I-317,19870512-0028,completed,4
RID189,I-3063,19870512-0028,completed,3
RID190,I-3370,19870512-0028,completed,4
RID191,I-3477,19870512-0028,completed,3
RID192,I-3479,19870512-0028,completed,5
RID193,I-3790,19870512-0028,completed,3
RID194,I-3483,19870512-0028,completed,5
